country_code,location_code,Gender_Equality_in_STEM,Women_Voter_Turnout,Air_Pollution_Index,Water_Quality_Index,Adult_Education_Level,Public_Education_Expenditure,Student_Performance_Score,Access_to_Basic_Housing,High_Housing_Cost_Burden,Average_Number_of_Rooms,Life_Expectancy,Self_Reported_Health,Household_Disposable_Income,Net_Financial_Wealth,Employment_Rate,Job_Market_Insecurity,Long_Term_Unemployment_Rate,Average_Earnings,PS_FSAFEN,PS_REPH,SC_SNTWS,SW_LIFS,WL_EWLH,WL_TNOW,composite_score,CG_SENG_rank,CG_VOTO_rank,EQ_AIRP_rank,EQ_WATER_rank,ES_EDUA_rank,ES_EDUEX_rank,ES_STCS_rank,HO_BASE_rank,HO_HISH_rank,HO_NUMR_rank,HS_LEB_rank,HS_SFRH_rank,IW_HADI_rank,IW_HNFW_rank,JE_EMPL_rank,JE_LMIS_rank,JE_LTUR_rank,JE_PEARN_rank,PS_FSAFEN_rank,PS_REPH_rank,SC_SNTWS_rank,SW_LIFS_rank,WL_EWLH_rank,WL_TNOW_rank,2014_treatment,2014_mh_impact_score,2014_age,2014_gender,2016_has_benefits,2016_age,2016_what_is_your_gender,avg_age,benefit_coverage_change
ESTONIA,EST,1.032005129306426,-0.4431278663811591,-1.2212814062981454,0.28111613844657524,0.8532671690873924,0.40972070728398713,1.3565028907672068,0.16482635787780478,-1.2884656632445277,0.13900544000158824,-0.39383729868266076,-0.8645501255714203,-0.4524506167907476,-0.5103415648479024,0.709821051049172,-0.009664039555817676,-0.3212865742282225,-0.9016123214107704,0.4810495661587629,-0.22386806938044496,0.8022200661738695,-0.14461728915674035,-0.7409918386773963,-0.061730533314362596,-0.25227495002475875,-1.1529324932663152,0.7393712375885447,1.5489957750901489,-0.2473156860041217,-1.062522120801464,-0.6370899554019225,-1.6721813026016732,-0.8826701726405446,1.4124837251583304,-0.10659095588069675,0.7963696941626269,1.240658251283203,0.6118176335725398,0.5065228382917925,-0.7917924920276721,-0.7795389262961354,-0.15604617057921027,0.8651468757439863,-0.5012780946733265,-0.7571038703615995,-1.1027081982070726,0.10777251366823651,0.9580194354586873,-0.031664918987284796,-0.5684147974536413,0.19671596597900118,-0.8967186872337214,,-0.8860693667933252,0.40203410439631543,Male,0.64561798174039,0.3656123590765385
FINLAND,FIN,0.12522237970663777,-0.022056138145668334,-1.2853786497402226,1.440720209538696,0.8532671690873924,1.8639406824327778,1.0408040281209785,-0.5485310095285336,1.2237482098395538,0.6123753167637552,0.4851618896815299,-0.016520066093720948,0.6096510878434098,-0.26822167487413046,0.48049424994097795,-0.8387152627272434,-0.3212865742282225,0.2734508472724023,1.1059180747773618,-0.4204351546901039,0.9925773700117372,1.8329400602423973,-0.5370745838526026,0.36293296310685086,0.02788814899425938,-0.26876028297078425,-0.17888013812626077,1.7149596081355218,-1.5663326780261042,-1.062522120801464,-1.419820193132995,-1.3302829754165846,0.617720272589926,-1.3143745389369146,-0.7997760108983907,-0.5120910258307357,0.18144013951572543,-0.5000432582083262,0.39396220756028305,-0.4689256506183301,1.5846644694291234,-0.15604617057921027,-0.23594914793017813,-1.4805190238026156,0.27419437467149815,-1.4172327776617213,-1.6205067055205735,0.5161803107595854,-0.8296208774668555,0.20541897587910593,-0.16495731316076512,-0.19510580766580846,Male,0.6372388822727363,-0.8536604132723904,Male,-0.4990365152006608,0.1231316536778102
FRANCE,FRA,-0.056134170213320025,0.4832299357369206,-0.3399443089695867,-0.5622322768931489,0.19165693336424555,-0.31738928029040825,0.3462665302992761,-0.5350714365586028,0.23533619419991456,0.375690378382672,0.698252602012246,-0.09361370786442089,0.7087674232402591,0.1329646381660959,-0.3221495539377013,-0.60554460621028,0.2176295119087019,0.22428153737714898,0.13390039470398563,-0.4695769260175187,0.6118627623360019,0.1378909036145652,0.060111662420007234,2.6650561279165914,0.31717308506741393,0.08490860114742814,-0.512789729295281,0.3042670272498507,0.906824182015113,0.29063302483072223,0.40655036157284097,0.0373103333237696,0.2426226612823084,-0.40542178423849956,-0.27988721963512025,-0.9209850008286615,0.3579764914769717,-0.7780084811535427,-0.5065228382917925,0.8225417150190378,0.5100265622812785,-1.1346886702298236,-0.135849509414345,0.23315260217364028,1.219551099285171,-0.6309213290250992,-0.056825507206888254,-0.6326014134580794,-2.0265548151862114,-0.41960061027426676,-0.7213777426065592,0.2850430595185995,Male,-0.1936565263087518,-0.09738985149464732,Male,0.14732424103299216,0.4111834706680827
GERMANY,DEU,-0.600203819973193,0.5674442813840187,-0.24379844380647128,0.8082088980339028,0.522462051225819,0.40972070728398713,0.5356858478870131,-0.5889097284383266,-0.05295064369497971,0.375690378382672,0.298707516392159,-0.17070734963512083,1.2126818894835323,0.16616731260809753,1.0538112527114631,-1.0459780685201,-0.3212865742282225,0.8427996359670538,0.2727600632858965,-0.4695769260175187,-0.1495664530154686,0.9854154819284806,-0.4933780292472898,1.368714928314989,0.3948065853650925,0.6154119273247467,-0.6797445248797911,0.055321277681791126,-0.906824182015113,-0.4705167445873825,-0.6370899554019225,-0.5610117392501354,1.1803666895513525,0.049054593110707936,-0.27988721963512025,0.22391812916553075,0.622781019418841,-1.3339389270439757,-0.6190834690233019,-1.3568094644940205,1.7995920508586924,-0.15604617057921027,-0.8365469790251769,-0.01165763010868197,1.219551099285171,0.5485458439298339,-1.1267126428951992,0.42781248581976505,-1.4280878463265336,0.6697192398787544,0.3172737256922566,0.04199095853300346,Male,1.1911691546603946,0.6114477355561121,Male,0.3030652252217435,-0.1248599768436168
GREECE,GRC,-0.600203819973193,-0.9484139402637479,0.15680932770650996,-1.7218363479852696,-0.1391481844973279,1.1368306948583824,-0.9480988065502602,-0.5485310095285336,0.6883583680347495,-1.0444192519038293,0.37861653351617564,0.8315099933839784,-0.7806090148469088,-0.7460232469032799,-1.3541201589245746,4.213315628473632,2.7220042651332332,-1.167762992692781,-0.21324877675079157,-0.3712933833626892,-2.43385409906988,-1.1333959638563091,-0.4059849200366639,0.05002301837542834,-0.4495120130056383,0.6154119273247467,1.073280828757565,-0.5255521379770146,1.4838941160247303,0.7134940078407804,-1.158910113889304,1.2339544784715795,0.617720272589926,-1.04168871252739,0.9331866266458442,-0.021418255833224754,-1.0543143242129982,0.9824379308328285,1.0693259919493396,1.3875586874853865,-1.746713042729196,-1.5795261700710115,1.2655454298073188,0.7227730667382848,-0.1555132274256259,1.6493818720211046,1.25995865979411,-0.014026638879336832,-0.23115390860717747,-0.9553316841200149,-0.8883038714402972,1.3653780106835156,Male,-0.8860693667933252,0.8814811020516397,Male,1.28191121680468,0.668713240824949
HUNGARY,HUN,-1.688343119492939,0.062158207501429814,0.5093441666379334,-0.2459766211407524,0.522462051225819,-1.0444992678648035,-0.12728176367006644,-0.13128424746067535,-0.09413447767996523,-0.5710493751416624,-1.0331094356747978,-0.7874564838007203,-0.7548431533222854,-0.7344859315327147,1.0538112527114631,-0.4241896511415306,-0.3212865742282225,-1.3039824367477357,0.13390039470398563,-0.3549127929202176,0.6118627623360019,-0.8508877710850037,-0.8429504660897931,0.16177657006522322,-0.44758815406318303,1.7648358007089369,-0.26235753591851585,-0.6915159710223877,0.5770699340096174,-0.4705167445873825,1.2762506257184771,0.7211069876939467,-0.6951213669867358,0.23084514405039092,0.7598903628914206,1.2052636691605527,1.1523900753025798,0.8897828565177563,0.8442047304863208,-1.3568094644940205,0.187635190136925,-0.15604617057921027,1.465744706838985,0.23315260217364028,-0.4133377886839003,-0.6309213290250992,1.0953606389189852,1.134755085338328,-0.6301318878469628,-0.9553316841200149,1.2817358033982995,-0.7031703066632625,FeMale,-0.8860693667933252,0.5618497702814235,Male,-0.20277299834533005,0.668713240824949
ICELAND,ISL,-0.056134170213320025,0.9885160096195095,-1.1411598519955493,1.440720209538696,-0.1391481844973279,1.1368306948583824,-0.06414199114082077,-0.6023693014082574,-0.6295243194847697,-0.09767949837949497,0.7781616191362627,0.6773227098425785,-0.2913500244495562,-0.3135893071177367,1.16847465326556,-1.1496094714165281,-0.47979130544496496,1.8839919716996678,0.8976285719044955,-0.4859575164599903,1.3732919776874726,1.4091777710854383,0.6427323904908461,0.5268381722518789,-0.9331476139649785,0.08490860114742814,-1.0971315138410662,1.3830319420447759,-1.5663326780261042,0.7134940078407804,-1.158910113889304,0.4646832423051303,1.5554643008589701,0.6550230962429847,0.2400015716281502,-1.2481001808270022,-0.9660461482323751,0.27208236108394174,0.2814015768287736,-1.5182428851986915,1.9070558415734769,1.0894988289761158,-1.737443725667675,-1.072501969998745,1.4773756605434454,-1.4958639225253836,-1.538207695083011,-0.9860727132173609,-0.5636355579736652,-0.45786711554896314,-0.7849686488289354,0.08484809994503424,,-0.462928186497197,-0.6302567152467524,,-0.21840912840158413,-0.5978154436237662
IRELAND,IRL,-1.5069865695729812,-0.5273422120282573,-0.9168194999482798,-0.3513951730582179,0.4563010276535043,0.40972070728398713,0.6935352792101273,-0.5754501554683955,0.1941523602149305,1.0857451935259228,0.6716162629709046,1.2169782022374782,0.17294714549202664,0.5522492741013548,0.021840647724589834,-0.7350838598308153,-0.3212865742282225,0.5192216351001401,0.2727600632858965,-0.4531963355750471,0.9925773700117372,0.5616531927715229,-0.37685388363312194,-1.0451617881845465,0.6145584112426985,1.4995841376202776,0.8228486353807998,0.9681223594313431,0.7419470580123652,-0.2168001547813476,-0.6370899554019225,-1.1593338118240404,0.8990434810706392,-0.22363123329881654,-1.319664802161661,-0.7574274108294913,-1.3191188521548676,-0.22207803526310968,-1.181886622680849,0.25752474255268937,1.047345515855201,-0.15604617057921027,-0.6363477019935107,-0.01165763010868197,0.789843497188047,-1.4172327776617213,-0.5506195698322626,-0.1023944638191572,1.5642469979718565,0.7213081581009374,-0.16495731316076512,0.3694103023313635,Male,1.3988930068057668,1.4994350101407232,Male,0.9085144459397924,-0.07388391945865667
ISRAEL,ISR,0.6692920294665103,-0.19048482943986464,0.9900734924535108,-0.6676508288106144,0.6547840983704484,-1.0444992678648035,-0.5692601713747861,1.7306233467131011,-1.0825464933196032,-1.0444192519038293,0.698252602012246,0.4460417845304787,-1.40089015214607,-0.5495770135882482,-0.09282275282950721,-0.21692684534867426,-0.6382960366617074,-0.2499106207652094,0.5504794004497183,-0.28939043115033125,0.8022200661738695,0.8441613855428285,0.9923048273333495,-0.5608963975287753,-1.0647323291247253,-0.7992636091481028,0.32198424862726954,-1.1064255536358205,0.9892627440164868,-0.5550889411893941,1.2762506257184771,1.0630053148790353,-1.2265096496725276,1.2609915993752614,0.9331866266458442,-0.9209850008286615,-0.5247052683292596,1.2912881785497359,0.5815632587794656,0.4189581632573604,-0.45714755415178193,1.6233038287855412,0.2645490446489875,-0.6644849161948747,-0.6711623499421747,-1.1027081982070726,-0.7975166011449497,-1.251176188036822,0.5668020498723932,-0.9553316841200149,-1.3223118064080166,-1.1386541629467948,Male,-0.8860693667933252,0.24221843851120733,Male,-0.6269684883881901,0.668713240824949
ITALY,ITA,0.6692920294665103,0.3148012444427243,0.3811496797537795,-0.6676508288106144,-0.9992414909374189,-0.31738928029040825,-0.19042153619931212,-0.5216118635886718,0.9766452059296437,-0.5710493751416624,0.8847069753016169,0.3689481427597788,0.16669755354775628,0.11180217271952954,-1.1247933578163805,0.8193871836156078,0.8199474905323233,-0.3675684609305845,0.06447056041303019,-0.4531963355750471,-0.3399237568533362,-0.14461728915674035,-0.5807711384579156,3.2685253070414744,0.24817514865876458,-0.7992636091481028,-0.42931233150302595,-0.6085340544997012,0.9892627440164868,1.051782794248827,0.40655036157284097,0.8065815694902189,0.14884825845540398,-1.1325839879972315,0.7598903628914206,-1.4116577708261726,-0.3481689163680133,-0.1294229609480375,-0.39396220756028305,1.1454085564283798,-1.3168578798700579,-1.4015911701345363,0.5648479601964869,0.47796283445596255,0.789843497188047,0.7058081336571582,0.10777251366823651,0.6045481356994058,-2.226043804806104,-0.45786711554896314,-0.8883038714402972,0.6965992313909487,Male,-0.8860693667933252,0.8814811020516397,Male,0.8476158341417521,0.08416154031015734
JAPAN,JPN,-1.325630019653024,-1.3694856684992387,0.028614840822355846,0.38653469036404076,-0.050933486400908626,-1.0444992678648035,1.1670835731794698,0.2590433686673212,0.6883583680347495,0.6123753167637552,1.097797687632333,-2.4064229609854193,0.10540769570833293,0.11013560663711135,1.0538112527114631,-0.7091760091067081,-0.44809035920161644,-0.31105027112802824,0.342189897576852,-0.5023381069024618,-0.3399237568533362,-0.7096336746993515,0.15721511709848043,-2.0285930430547268,0.3863661843813095,1.3227496955611715,1.32371302213433,-0.35958830493164157,-0.4121928100068695,0.2624422926300518,1.2762506257184771,-1.586706720805401,-0.976444575467449,-1.04168871252739,-0.7997760108983907,-1.6569941558249281,1.6819991311863185,-0.036767886632965346,-0.2814015768287736,-1.3568094644940205,0.9398817251404165,1.0005313290078783,0.36464868316482063,-0.09326104086945605,1.649258701382295,0.7058081336571582,0.8484636076062979,-0.42640982193183186,2.1627139668315345,2.526920295877348,1.2817358033982995,4.087152112455592,Male,-0.8860693667933252,1.0412967679367477,Male,3.120091673657073,-3.4231486627785928
KOREA,KOR,1.3947182291463407,0.6516586270311169,2.2079211178529743,-0.14055806922328687,0.7209451219427631,-0.31738928029040825,1.1670835731794698,-0.2658799771599845,-2.2356938448991817,-0.3343644367605787,0.8047979581776002,-2.637703886297519,-0.364079193859486,0.5054626241875727,-0.20748615338360424,-0.6573603076584941,-0.7016979291484045,-0.05005139194598246,0.6893390690316292,-0.40405456424763236,-2.0531394913941448,-1.1333959638563091,-0.02728144679061855,-0.3969911883837433,0.6072839021679881,-1.3297669353254213,-0.7632219226720461,-1.6043170527719397,0.2473156860041217,-0.8088055309954291,0.40655036157284097,-1.586706720805401,-0.5075725613329269,1.5942742760980133,0.4999459672597854,-1.3298789758265874,1.7702673071669417,0.5191625592574677,-0.9567653612178303,0.6611082943143669,0.7249541437108474,1.8012388287220165,0.06434976761732124,-0.7460883269556488,0.10231133383264852,1.4921195822937803,1.25995865979411,-0.16130634711237088,0.5668020498723932,-0.3964517367130308,-0.7918576636696932,-0.2730627942844656,,0.7218671183319618,0.554746851797642,,0.07339048529574153,0.8758321766863628
LATVIA,LVA,0.12522237970663777,-1.2010569772050423,-0.13162826778283665,-0.03513951730582134,0.7209451219427631,0.40972070728398713,0.12527732644691625,0.905102871224005,0.27652002818490007,-1.0444192519038293,-1.2728364870468514,-1.6354865432784198,-0.891128114492953,-1.1499637796797133,0.48049424994097795,0.22350661696114565,-0.00427711179473748,-0.9655551527691585,-0.004959273877925248,0.07098255858404356,0.23114815466026667,-0.5683795783136981,-0.8283849478880221,-0.22563574245939458,-0.7091046611772899,-0.26876028297078425,1.2402356243420751,-0.1936244718862685,0.08243856200137391,-0.8088055309954291,-0.6370899554019225,0.37920866050885815,-1.2577677839481622,-0.5872123351781825,0.9331866266458442,1.4506000541593083,1.4171946032444491,1.0750930051479006,1.2944472534123586,-0.4689256506183301,-0.9944665077257044,-0.7788186703568734,1.0653461527756525,0.5595662452167366,-1.1008699520392988,0.234021264475185,0.6838655867311731,1.0463872603985076,0.03483141088601288,-0.9553316841200149,-0.8883038714402972,-0.26768645037973027,Male,-0.6039752465959064,-1.3973719114952718,,-0.6269684883881901,0.3656123590765385
